"","ID","DISEASE","DISEASE_SUBTYPE","DISEASE_PROXY","COUNTRY","COUNTRY_PROXY","YEAR","SEX","AGE","SES","DIMENSION","DOMAIN","CRITERION","INDICATOR","INDICATOR_PROXY","MEASURE","UNIT","CATEGORIES","VALUE","SD","LOWER CI","UPPER CI","SOURCE","RATING","KEY_POINT","QUOTES","META_1","META_2","META_3","CRITERION2","COMMENTS","QUALY"
"20","Crohns Disease","Crohns Disease",NA,NA,"Belgium",NA,2023,"MF","ALL","ALL","Patients","Health","Impact on physical health","Experienced burden of physical symptoms",NA,"Participants who reported the physical symptom as very or rather burdensome (>10%)","%","Anal pain","35.3",NA,NA,NA,"NEED survey",NA,NA,"""I had a little bit of pain in my duodenum as a result, and so he gave me [name antispasmodic] and he said, 'It's going to pass, donât worry!' and then it went on like that for months and then at some point I had a huge attack of haemorrhoids that I couldn't walk anymore and canker sores in my mouth. I didn't know how to eat anymore. My cheek had swollen, I looked like a hamster.â",NA,NA,NA,NA,NA,NA
"21","Crohns Disease","Crohns Disease",NA,NA,"Belgium",NA,2023,"MF","ALL","ALL","Patients","Health","Impact on physical health","Experienced burden of physical symptoms",NA,"Participants who reported the physical symptom as very or rather burdensome (>10%)","%","Weight loss","18",NA,NA,NA,"NEED survey",NA,NA,"""That was the first time I didn't really know I had it, and then I had lost ten kilos, I wasn't well at all and then I was hospitalised. I had lost ten kilos at the time, dehydrated. I was actually in the hospital for ten days.""",NA,NA,NA,NA,NA,NA
"22","Crohns Disease","Crohns Disease",NA,NA,"Belgium",NA,2023,"MF","ALL","ALL","Patients","Health","Impact on physical health","Experienced burden of physical symptoms",NA,"Participants who reported the physical symptom as very or rather burdensome (>10%)","%","Nausea or vomiting","36",NA,NA,NA,"NEED survey",NA,"""Need to spend long hours in the restroom.""","""It was big, big cramps in my abdomen. Vomiting all day long.â ; ""So I had the symptoms of pain, I had the symptoms of bloating, I had the symptoms of vomiting, I had the symptoms of going to the toilet very regularly, I had this fistula there as well.""",NA,NA,NA,NA,NA,NA
"23","Crohns Disease","Crohns Disease",NA,NA,"Belgium",NA,2023,"MF","ALL","ALL","Patients","Health","Impact on physical health","Experienced burden of physical symptoms",NA,"Participants who reported the physical symptom as very or rather burdensome (>10%)","%","Headache","37.3",NA,NA,NA,"NEED survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Crohns Disease","Crohns Disease",NA,NA,"Belgium",NA,2023,"MF","ALL","ALL","Patients","Health","Impact on physical health","Experienced burden of physical symptoms",NA,"Participants who reported the physical symptom as very or rather burdensome (>10%)","%","Blood loss during bowel movements","20",NA,NA,NA,"NEED survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Crohns Disease","Crohns Disease",NA,NA,"Belgium",NA,2023,"MF","ALL","ALL","Patients","Health","Impact on physical health","Experienced burden of physical symptoms",NA,"Participants who reported the physical symptom as very or rather burdensome (>10%)","%","Loss of appetite","19.3",NA,NA,NA,"NEED survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Crohns Disease","Crohns Disease",NA,NA,"Belgium",NA,2023,"MF","ALL","ALL","Patients","Health","Impact on physical health","Experienced burden of physical symptoms",NA,"Participants who reported the physical symptom as very or rather burdensome (>10%)","%","Weight gain","28.7",NA,NA,NA,"NEED survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Crohns Disease","Crohns Disease",NA,NA,"Belgium",NA,2023,"MF","ALL","ALL","Patients","Health","Impact on physical health","Experienced burden of physical symptoms",NA,"Participants who reported the physical symptom as very or rather burdensome (>10%)","%","Constipation","22.7",NA,NA,NA,"NEED survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Crohns Disease","Crohns Disease",NA,NA,"Belgium",NA,2023,"MF","ALL","ALL","Patients","Health","Impact on physical health","Experienced burden of physical symptoms",NA,"Participants who reported the physical symptom as very or rather burdensome (>10%)","%","Pain in the mouth due to, for example, ulcers","16.7",NA,NA,NA,"NEED survey",NA,"""Need to spend long hours in the restroom.""",NA,NA,NA,NA,NA,NA,NA
"29","Crohns Disease","Crohns Disease",NA,NA,"Belgium",NA,2023,"MF","ALL","ALL","Patients","Health","Impact on physical health","Experienced burden of physical symptoms",NA,"Participants who reported the physical symptom as very or rather burdensome (>10%)","%","Difficult wound healing","16.7",NA,NA,NA,"NEED survey",NA,NA,"""[...] so he gave me [name antispasmodic] and he said, 'It's going to pass, donât worry!' and then it went on like that for months and then at some point I had [...] canker sores in my mouth. I didn't know how to eat anymore. My cheek had swollen, I looked like a hamster.â",NA,NA,NA,NA,NA,NA
"30","Crohns Disease","Crohns Disease",NA,NA,"Belgium",NA,2023,"MF","ALL","ALL","Patients","Health","Impact on physical health","Experienced burden of physical symptoms",NA,"Participants who reported the physical symptom as very or rather burdensome (>10%)","%","Vision problems or eye pain","18",NA,NA,NA,"NEED survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Crohns Disease","Crohns Disease",NA,NA,"Belgium",NA,2023,"MF","ALL","ALL","Patients","Health","Impact on physical health","Experienced burden of physical symptoms",NA,"Participants who reported the physical symptom as very or rather burdensome (>10%)","%","Elevated temperature or fever","12.7",NA,NA,NA,"NEED survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Crohns Disease","Crohns Disease",NA,NA,"Belgium",NA,2023,"MF","ALL","ALL","Patients","Health","Impact on physical health","Pain/discomfort",NA,"Participants who reported moderate, severe or extreme problems with pain/discomfort","%","BEFORE","22",NA,NA,NA,"NEED survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Crohns Disease","Crohns Disease",NA,NA,"Belgium",NA,2023,"MF","ALL","ALL","Patients","Health","Impact on physical health","Pain/discomfort",NA,"Participants who reported moderate, severe or extreme problems with pain/discomfort","%","TODAY","51.3",NA,NA,NA,"NEED survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Crohns Disease","Crohns Disease",NA,NA,"Belgium",NA,2023,"MF","ALL","ALL","Patients","Health","Impact on physical health","Pain/discomfort",NA,"Participants who reported moderate, severe or extreme problems with pain/discomfort","% points","DIFFERENCE","29.3",NA,NA,NA,"NEED survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Crohns Disease","Crohns Disease",NA,NA,"Belgium",NA,2023,"MF","ALL","ALL","Patients","Health","Impact on psychological health","Experienced burden of psychological symptoms related to the health issue",NA,"Participants who reported the psychological symptom as very or rather burdensome (>10%)","%","Stress","42.7",NA,NA,NA,"NEED survey",NA,"""Stress stemmed from the fear of disease progression or worsening over time."";""Embarrassing situations caused by Crohn's, such as uncontrolled bowel movements, had a significant psychological impact."";"" Not psychologically prepared to manage such socially awkward situations.""","""Well, there were periods that I think were too short, unfortunately, where I was able to rest physically and psychologically because things were getting better, but in the end you're never at ease.""; ""I went for a walk, I had just eaten, and now, fortunately, it was in the woods but [...] Then a little accident and then psychologically well, I wasn't ready. And it's silly because we tell ourselves it can happen to anyone in fact but, yes it still has a psychological impact.â",NA,NA,NA,NA,NA,NA
"36","Crohns Disease","Crohns Disease",NA,NA,"Belgium",NA,2023,"MF","ALL","ALL","Patients","Health","Impact on psychological health","Experienced burden of psychological symptoms related to the health issue",NA,"Participants who reported the psychological symptom as very or rather burdensome (>10%)","%","Fear or anxiety","37.3",NA,NA,NA,"NEED survey",NA,"""Stress stemmed from the fear of disease progression or worsening over time."";""Embarrassing situations caused by Crohn's, such as uncontrolled bowel movements, had a significant psychological impact."";"" Not psychologically prepared to manage such socially awkward situations.""","""Well, actually, it's still something, I always feel like [...] yes, the image of having a sword of Damocles hanging over your head.""; ""I went to a psychologist once, back then because of my hands. Then I became really desperate. I could hardly wash my hands, that pain, everything I touched. And I knew it was irreversible. And maybe it was even getting worse.""; "" I always have to have a toilet within reach. So every time I go, a shop- ah there's a toilet. A city, in that shop, I can go there. So in the back of my mind, because if I have to go, I have to go. So at that time there were such thick sanitary pads. Those pants, diaper pants, that didn't exist back then. So yes, I was always insecure.""",NA,NA,NA,NA,NA,NA
"37","Crohns Disease","Crohns Disease",NA,NA,"Belgium",NA,2023,"MF","ALL","ALL","Patients","Health","Impact on psychological health","Experienced burden of psychological symptoms related to the health issue",NA,"Participants who reported the psychological symptom as very or rather burdensome (>10%)","%","Feeling down, depressed, or sadness","37.3",NA,NA,NA,"NEED survey",NA,"""The ineffectiveness of prescribed treatments caused hopelessness in patients.""; ""The sickness led to feelings of depression about overall health."";""The invisibility of the disease affected patients psychologically, making them feel misunderstood and the suffering unrecognised by others.""; ""Embarrassing situations caused by Crohn's, such as uncontrolled bowel movements, had a significant psychological impact.""; ""Not psychologically prepared to manage such socially awkward situations.""","""Physically, it's not visible when we're not feeling well, so it's not like having a broken arm or a cast on your foot, people don't see it and so it's like 'stop complaining'. We're in pain, we turn white because of the pain, but people don't realize it. So no, the people around us don't understandâ",NA,NA,NA,NA,NA,NA
"38","Crohns Disease","Crohns Disease",NA,NA,"Belgium",NA,2023,"MF","ALL","ALL","Patients","Health","Impact on psychological health","Experienced burden of psychological symptoms related to the health issue",NA,"Participants who reported the psychological symptom as very or rather burdensome (>10%)","%","Feelings of restlessness, nervousness or irritability","35.3",NA,NA,NA,"NEED survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Crohns Disease","Crohns Disease",NA,NA,"Belgium",NA,2023,"MF","ALL","ALL","Patients","Health","Impact on psychological health","Experienced burden of psychological symptoms related to the health issue",NA,"Participants who reported the psychological symptom as very or rather burdensome (>10%)","%","Difficulty in concentrating","27.3",NA,NA,NA,"NEED survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Crohns Disease","Crohns Disease",NA,NA,"Belgium",NA,2023,"MF","ALL","ALL","Patients","Health","Impact on psychological health","Experienced burden of psychological symptoms related to the health issue",NA,"Participants who reported the psychological symptom as very or rather burdensome (>10%)","%","Libido problems","25.3",NA,NA,NA,"NEED survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Crohns Disease","Crohns Disease",NA,NA,"Belgium",NA,2023,"MF","ALL","ALL","Patients","Health","Impact on psychological health","Experienced burden of psychological symptoms related to the health issue",NA,"Participants who reported the psychological symptom as very or rather burdensome (>10%)","%","Mood swings","22",NA,NA,NA,"NEED survey",NA,"""Difficulty accepting and living with the disease daily."";""Embarrassing situations caused by Crohn's, such as uncontrolled bowel movements, had a significant psychological impact."";""Not psychologically prepared to manage these socially awkward situations."";""Need to make the illness more visible to loved ones to convey its reality.""",NA,NA,NA,NA,NA,NA,NA
"42","Crohns Disease","Crohns Disease",NA,NA,"Belgium",NA,2023,"MF","ALL","ALL","Patients","Health","Impact on psychological health","Experienced burden of psychological symptoms related to the health issue",NA,"Participants who reported the psychological symptom as very or rather burdensome (>10%)","%","Anger or aggressiveness","13.3",NA,NA,NA,"NEED survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Crohns Disease","Crohns Disease",NA,NA,"Belgium",NA,2023,"MF","ALL","ALL","Patients","Health","Impact on psychological health","Anxiety/depression",NA,"Participants who reported moderate, severe or extreme problems with anxiety/depression","%","BEFORE","15.3",NA,NA,NA,"NEED survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Crohns Disease","Crohns Disease",NA,NA,"Belgium",NA,2023,"MF","ALL","ALL","Patients","Health","Impact on psychological health","Anxiety/depression",NA,"Participants who reported moderate, severe or extreme problems with anxiety/depression","%","TODAY","34.3",NA,NA,NA,"NEED survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Crohns Disease","Crohns Disease",NA,NA,"Belgium",NA,2023,"MF","ALL","ALL","Patients","Health","Impact on psychological health","Anxiety/depression",NA,"Participants who reported moderate, severe or extreme problems with anxiety/depression","% points","DIFFERENCE","19",NA,NA,NA,"NEED survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Crohns Disease","Crohns Disease",NA,NA,"Belgium",NA,2023,"MF","ALL","ALL","Patients","Health","Impact on autonomy","Mobility",NA,"Participants who reported moderate, severe or extreme problems with mobility","%","BEFORE","4",NA,NA,NA,"NEED survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Crohns Disease","Crohns Disease",NA,NA,"Belgium",NA,2023,"MF","ALL","ALL","Patients","Health","Impact on autonomy","Mobility",NA,"Participants who reported moderate, severe or extreme problems with mobility","%","TODAY","20.6",NA,NA,NA,"NEED survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Crohns Disease","Crohns Disease",NA,NA,"Belgium",NA,2023,"MF","ALL","ALL","Patients","Health","Impact on autonomy","Mobility",NA,"Participants who reported moderate, severe or extreme problems with mobility","% points","DIFFERENCE","16.6",NA,NA,NA,"NEED survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Crohns Disease","Crohns Disease",NA,NA,"Belgium",NA,2023,"MF","ALL","ALL","Patients","Health","Impact on autonomy","Self-care",NA,"Participants who reported moderate, severe or extreme problems with self-care","%","BEFORE","2",NA,NA,NA,"NEED survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Crohns Disease","Crohns Disease",NA,NA,"Belgium",NA,2023,"MF","ALL","ALL","Patients","Health","Impact on autonomy","Self-care",NA,"Participants who reported moderate, severe or extreme problems with self-care","%","TODAY","6",NA,NA,NA,"NEED survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Crohns Disease","Crohns Disease",NA,NA,"Belgium",NA,2023,"MF","ALL","ALL","Patients","Health","Impact on autonomy","Self-care",NA,"Participants who reported moderate, severe or extreme problems with self-care","% points","DIFFERENCE","4",NA,NA,NA,"NEED survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Crohns Disease","Crohns Disease",NA,NA,"Belgium",NA,2023,"MF","ALL","ALL","Patients","Health","Impact on autonomy","Usual activities",NA,"Participants who reported moderate, severe or extreme problems with usual activities","%","BEFORE","8.6",NA,NA,NA,"NEED survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Crohns Disease","Crohns Disease",NA,NA,"Belgium",NA,2023,"MF","ALL","ALL","Patients","Health","Impact on autonomy","Usual activities",NA,"Participants who reported moderate, severe or extreme problems with usual activities","%","TODAY","35.3",NA,NA,NA,"NEED survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Crohns Disease","Crohns Disease",NA,NA,"Belgium",NA,2023,"MF","ALL","ALL","Patients","Health","Impact on autonomy","Usual activities",NA,"Participants who reported moderate, severe or extreme problems with usual activities","% points","DIFFERENCE","26.7",NA,NA,NA,"NEED survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Crohns Disease","Crohns Disease",NA,"IBD","Belgium",NA,2019,"MF","ALL","ALL","Patients","Health","Impact on mortality","Years of Life Lost",NA,NA,"per 100 000",NA,"15.2",NA,13.42,16.91,"BeBOD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Crohns Disease","Crohns Disease",NA,NA,"Belgium",NA,2023,"MF","ALL","ALL","Patients","Healthcare","Effectiveness of treatment","Effectiveness of treatment",NA,NA,NA,NA,NA,NA,NA,NA,"NEED survey",NA,"""Multiple treatments were often attempted before finding an effective one."";""Nutritional adaptation was common, but drastic diets were unsustainable long-term due to their restrictive nature. Dietary adjustments were often found through trial and error."";""Adhering to dietary treatments could be socially challenging, especially in restaurants."";""Treatments often needed adjustments over time as they were not always effective long-term."";""Ineffective treatments caused feelings of hopelessness."";","â I also had surgery [...] then started taking medication and then nothing more. Immediately no more complaints, no cramps, diarrhoea though. The need to go to the toilet, yes, but for the rest never nothing anymore.â; ""The [name interleukin inhibitor] works very well, I do an injection every 8 weeks, and in any case for Crohn's and Verneuil for the moment it works perfectly. Oh, really. It works very well.â ; ""In my daily life I'm fine, I'll say, thanks to the [name TNF inhibitor], I thank the [name TNF inhibitor] every day who allows me to stand up and know how to do everything I can do too."" ; ""Yes, because at the moment I've been without medication for 9 weeks now, so I don't know which one I'm going to have. [...] That's difficult, the treatments are limited and I know they go in degrees, so if the lightest form doesn't help, then they go to the next step and the next step, but they're also quite limited in that, I know they do studies on that, but yes, it's not like you can choose from 100 different drugs and the one that gives the least side effects, that you can actually take that.""; ""Since I've had surgery and I've been on treatment, we've finally found the right treatment because I've been on five different treatments, I'm on the fifth I think now, I have absolutely nothing.""; ""He doesn't have any treatment... Finally... so [name immunomodulator A] that was quickly over, [name TNF inhibitor A] still worked for a long time and then it does... so, I didn't respond to [name TNF inhibitor A] anymore and so when you don't respond to a treatment anymore, well necessarily first you increase the intake, so now, I no longer injected myself every two weeks but every week, and after x amount of time we do it again. No, it really didn't work, so we changed. Then I took another molecule, I don't remember which one. It didn't work either, after... I think that after a year I was already unresponsive and here I am on [name TNF inhibitor B], with [name immunomodulator B], and here we have just done a test again because it's been a month and a half that I'm really not well [...] so I'm at the stage where I'm wondering if it's still worth taking a treatment.â; ""I've learned, and that's it, just to know myself. [...] From the information I've seen or read, there wasn't really any instructions saying ""you have Crohn's disease so you can't eat this anymore because it's going to have a negative impact"". You had to see for yourself.â",NA,NA,NA,NA,NA,NA
"57","Crohns Disease","Crohns Disease",NA,NA,"Belgium",NA,2023,"MF","ALL","ALL","Patients","Healthcare","Burden of treatment","Experienced burden of treatment",NA,"Participants who reported having a very or rather burdensome treatment","%",NA,"17.9",NA,NA,NA,"NEED survey",NA,"""Uncertainty about treatment effectiveness and side effects impacted mental health."";"" Treatment burden included: constraints on activities related to time-consuming treatments (e.g., perfusions) and regular hospital visits, practical issues, like storing self-administered injections in the refrigerator and difficulty maintaining long-term treatment discipline without close clinician follow-up.""","â Yes. I also realize that every medicine will have its side effects, and that is not always easy, and  sometimes there is some fear involved. But there is not much you can do about it, except of course wait and see how it goes. But that's not very pleasant. â ; ""How can I put it... To be done... Having a wound packed with gauze for almost a year is still long, painful, not only physically but psychologically it's, that's it... Every day, having this care is difficult. [...] It's heavy, even in terms of organization, and then that's it psychologically and all that.â ; ""It's not just Crohn's, there's the operations, there's the effects of the operations, it plays a psychological role because we're not prepared to go back and forth to the hospital. We were promised that the bag would be the miracle solution, and it's true that I had regained a quality of life in terms of bowel movements and  pain,  but I got other things in return.â """"So in the end you say thank you to the package without asking too many questions, and it's only afterwards, when you read the list of side effects, that you say to yourself 'oh, that's quite something! Was it really a good thing after all?' But at that point it's too late.â",NA,NA,NA,NA,NA,NA
"58","Crohns Disease","Crohns Disease",NA,NA,"Belgium",NA,2023,"MF","ALL","ALL","Patients","Healthcare","Burden of treatment","Experienced burden of side-effects of treatment",NA,"Participants who reported the side-effect as very or rather burdensome (>10%)","%","FatigueÂ orÂ exhaustion","64.1",NA,NA,NA,"NEED survey",NA,"""Side-effects following surgery, such as physical transformations (e.g., a deformed belly resembling pregnancy), were burdensome in daily life.""; ""Due to medication constraints, there were questions about the worth of continuing treatment."";""Desire to stop medication was noted, citing severe side effects or aiming for personal goals.""; ""Stopping treatment was seen as a sign of recovery, despite understanding the disease as incurable.""","âI was also on the two for a few months, so both [name immunomodulator A] and [name TNF inhibitor A], but that turned out to be very heavy. I was very, very tired. The fatigue, both on [name immunomodulator A] and [name TNF inhibitor A], is actually the same"";""Here with the treatment, the first performance didn't go very well so I was really knocked out for 2-3 days or more.""",NA,NA,NA,NA,NA,NA
"59","Crohns Disease","Crohns Disease",NA,NA,"Belgium",NA,2023,"MF","ALL","ALL","Patients","Healthcare","Burden of treatment","Experienced burden of side-effects of treatment",NA,"Participants who reported the side-effect as very or rather burdensome (>10%)","%","Weight gain","28.3",NA,NA,NA,"NEED survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
